person_id,household_id
0,90560
1,104697
2,4397
3,88618
4,66176
5,53328
6,84774
7,52932
8,35948
9,31605
10,34441
11,75571
12,76786
13,90848
14,44497
15,75447
16,56646
17,78029
18,76679
19,109902
20,60815
21,76228
22,106384
23,39883
24,78460
25,86467
26,86227
27,46177
28,96613
29,42200
30,40235
31,36934
32,53126
33,7742
34,50603
35,108035
36,110523
37,55523
38,89182
39,89152
40,54429
41,61853
42,104972
43,108208
44,24953
45,2100
46,49925
47,67784
48,63790
49,112146
50,31466
51,100709
52,3192
53,24077
54,107000
55,38123
56,86912
57,98324
58,5050
59,90641
60,106145
61,69689
62,113550
63,51624
64,79270
65,177
66,67358
67,60123
68,25922
69,32988
70,73913
71,71788
72,24718
73,36051
74,59225
75,21671
76,109284
77,68586
78,95995
79,42090
80,57038
81,30237
82,48071
83,25681
84,91370
85,6701
86,35931
87,50318
88,59535
89,35848
90,15666
91,28617
92,36234
93,75114
94,69778
95,67461
96,59457
97,21659
98,58767
99,18631
100,39569
101,68344
102,320
103,77766
104,63482
105,30473
106,110780
107,14277
108,113889
109,34392
110,40572
111,1691
112,10422
113,70840
114,7155
115,10058
116,61762
117,22797
118,64501
119,6017
120,87749
121,89977
122,94680
123,95633
124,31562
125,101141
126,35527
127,89151
128,3358
129,46837
130,93854
131,40355
132,14254
133,37182
134,71239
135,83248
136,81519
137,47755
138,24602
139,50559
140,84089
141,108938
142,45976
143,112454
144,64510
145,105914
146,107986
147,26349
148,15446
149,113048
150,101942
151,105334
152,54125
153,64065
154,69209
155,54038
156,10921
157,11197
158,40704
159,13721
160,21632
161,73320
162,56990
163,13951
164,84238
165,88694
166,4036
167,65051
168,107329
169,87116
170,75264
171,39166
172,92704
173,36564
174,92026
175,54433
176,110811
177,107856
178,80907
179,26199
180,93453
181,42950
182,99598
183,108162
184,11249
185,27403
186,54282
187,56740
188,95128
189,56519
190,53605
191,25117
192,52709
193,76027
194,101078
195,107447
196,111327
197,52307
198,97307
199,43020
200,74102
201,50367
202,98828
203,21272
204,69572
205,96670
206,88582
207,111354
208,25539
209,1315
210,95504
211,6220
212,68360
213,85313
214,34254
215,25116
216,39657
217,113519
218,84217
219,67759
220,28183
221,8736
222,102651
223,56216
224,73662
225,561
226,54230
227,92472
228,113706
229,106003
230,29494
231,91571
232,106349
233,104292
234,36525
235,94261
236,62226
237,102765
238,2900
239,16633
240,59356
241,19289
242,44342
243,110821
244,11036
245,55285
246,85028
247,9343
248,71212
249,77864
250,45779
251,55286
252,68976
253,112161
254,50800
255,29501
256,96191
257,103533
258,74875
259,16039
260,95058
261,14794
262,23855
263,93402
264,16663
265,98666
266,52296
267,26898
268,5611
269,24766
270,51423
271,100028
272,14630
273,95463
274,17914
275,67577
276,108358
277,14111
278,63360
279,112867
280,39940
281,52166
282,86974
283,37006
284,29825
285,71
286,12329
287,17373
288,81143
289,39950
290,94743
291,113639
292,83285
293,38796
294,100215
295,41783
296,24671
297,25912
298,47804
299,94960
300,101012
301,68150
302,33683
303,103478
304,107248
305,72527
306,79960
307,17698
308,3231
309,108157
310,11375
311,48091
312,78667
313,78253
314,72278
315,10711
316,11897
317,36613
318,102876
319,68293
320,50901
321,85944
322,96067
323,66498
324,105610
325,99684
326,7650
327,46872
328,76115
329,90179
330,92146
331,46363
332,96450
333,81608
334,86593
335,81643
336,9042
337,83221
338,70194
339,12722
340,32721
341,70349
342,90993
343,84851
344,81740
345,25205
346,73023
347,77723
348,32610
349,71085
350,56706
351,46224
352,87575
353,6206
354,95262
355,27348
356,90006
357,85941
358,103076
359,108148
360,49638
361,83214
362,20794
363,6478
364,12204
365,68170
366,69579
367,50526
368,9472
369,58341
370,55212
371,33103
372,44313
373,93771
374,107660
375,85602
376,3677
377,84552
378,67154
379,16439
380,78111
381,23764
382,15486
383,108737
384,20400
385,80120
386,6283
387,40755
388,33
389,84125
390,55355
391,34382
392,100541
393,96034
394,39741
395,3368
396,29891
397,36823
398,71103
399,28531
400,28775
401,64551
402,34247
403,43445
404,70041
405,11316
406,33372
407,77068
408,108174
409,82557
410,27205
411,91174
412,105467
413,44618
414,100985
415,101791
416,38963
417,51500
418,40945
419,48698
420,109838
421,110018
422,91036
423,87608
424,89164
425,43211
426,37343
427,14244
428,65722
429,71296
430,48526
431,49870
432,60624
433,15745
434,16464
435,78160
436,101280
437,65020
438,86541
439,49784
440,108882
441,34969
442,57162
443,109691
444,39911
445,41604
446,95908
447,44808
448,38356
449,40478
450,50980
451,65
452,50386
453,95788
454,52520
455,75846
456,31135
457,18585
458,105218
459,15511
460,63481
461,9851
462,7470
463,97956
464,17097
465,35959
466,14654
467,99247
468,13493
469,110694
470,107159
471,35760
472,110051
473,800
474,54182
475,66226
476,22561
477,55918
478,95356
479,101071
480,70255
481,101713
482,86065
483,94984
484,69027
485,41983
486,97820
487,26292
488,91849
489,10444
490,27756
491,95150
492,110501
493,93483
494,35924
495,4624
496,48847
497,19752
498,110634
499,75261
500,24943
501,91594
502,76465
503,19160
504,106559
505,82548
506,71957
507,85525
508,22084
509,18734
510,105101
511,12980
512,47957
513,37662
514,46711
515,36348
516,67946
517,30345
518,79539
519,14272
520,54899
521,74215
522,95922
523,51307
524,13577
525,113770
526,6877
527,6931
528,78398
529,113755
530,12469
531,70288
532,90337
533,66202
534,66266
535,99852
536,20070
537,25323
538,78677
539,72247
540,95140
541,100747
542,95488
543,54007
544,24655
545,66790
546,27210
547,14647
548,46001
549,39291
550,32967
551,65466
552,102476
553,82898
554,44157
555,13782
556,103141
557,50638
558,110053
559,64211
560,19308
561,89788
562,111546
563,63671
564,59994
565,42874
566,67314
567,52124
568,87094
569,95866
570,87320
571,43007
572,12168
573,44843
574,54450
575,52019
576,61077
577,43362
578,110044
579,52244
580,40760
581,105020
582,22307
583,84565
584,50014
585,2037
586,86180
587,12892
588,24739
589,23697
590,44146
591,90695
592,3903
593,104830
594,22311
595,32275
596,36748
597,11898
598,77513
599,38206
600,81815
601,107283
602,70095
603,53707
604,41827
605,101447
606,88739
607,92033
608,22655
609,86415
610,31711
611,66036
612,106082
613,21449
614,83117
615,96076
616,12315
617,65633
618,90194
619,2864
620,67815
621,29541
622,87418
623,14961
624,27779
625,28042
626,39998
627,15552
628,54979
629,51618
630,55933
631,63252
632,20758
633,42621
634,113183
635,14366
636,71898
637,21781
638,72922
639,4969
640,6595
641,958
642,14131
643,89335
644,3583
645,65338
646,80481
647,39889
648,100600
649,16827
650,26586
651,22473
652,73592
653,92352
654,96023
655,1270
656,39084
657,72631
658,60742
659,1295
660,51756
661,8093
662,106121
663,36408
664,86707
665,47780
666,24087
667,73074
668,66181
669,22131
670,38621
671,575
672,79102
673,73367
674,55560
675,73452
676,10427
677,31542
678,78069
679,112725
680,86732
681,5551
682,86829
683,17550
684,530
685,41165
686,65149
687,62102
688,90047
689,47139
690,43358
691,103536
692,71433
693,37960
694,20438
695,72266
696,4570
697,37769
698,109534
699,14299
700,103759
701,45997
702,27122
703,108479
704,51995
705,70717
706,53084
707,93432
708,9116
709,51641
710,99350
711,112834
712,109862
713,38993
714,107689
715,67301
716,6864
717,70228
718,16619
719,89233
720,62229
721,21069
722,62239
723,24039
724,66233
725,79949
726,108841
727,43945
728,77476
729,45883
730,51774
731,240
732,1471
733,45408
734,26322
735,55366
736,102587
737,109503
738,44748
739,105965
740,111326
741,21315
742,50909
743,13294
744,22482
745,14659
746,88697
747,54822
748,39597
749,113731
750,68991
751,90371
752,73327
753,85167
754,105415
755,23777
756,76569
757,70134
758,23608
759,40868
760,55773
761,34893
762,92618
763,113061
764,42751
765,13514
766,82437
767,26915
768,65826
769,9696
770,60846
771,51928
772,22063
773,88457
774,57193
775,82225
776,54521
777,99487
778,18718
779,58644
780,78845
781,25166
782,15099
783,25699
784,90985
785,28767
786,38988
787,68805
788,113259
789,83184
790,73878
791,58572
792,32505
793,99051
794,44589
795,31420
796,69919
797,42303
798,7426
799,109251
800,38794
801,57831
802,107642
803,13891
804,11692
805,69954
806,33706
807,49729
808,20463
809,26443
810,72834
811,66265
812,26534
813,69391
814,51998
815,36878
816,109520
817,96506
818,49360
819,42879
820,27308
821,81721
822,111170
823,86212
824,27151
825,36891
826,11904
827,109941
828,69644
829,84470
830,68986
831,59698
832,107506
833,9136
834,74189
835,51440
836,53356
837,109025
838,66735
839,9524
840,110647
841,104495
842,113985
843,63234
844,22172
845,101852
846,12850
847,71799
848,26892
849,68108
850,49349
851,45230
852,45000
853,14852
854,9856
855,92610
856,51430
857,104762
858,83748
859,16285
860,62385
861,16925
862,26570
863,66076
864,4070
865,10645
866,73494
867,70666
868,87305
869,106723
870,92514
871,71996
872,16440
873,66413
874,69229
875,54595
876,81791
877,81891
878,98518
879,13864
